"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"ADDI","Reported","BOGOTA","Reported","FINANCE","Reported","0","missing","0.00","missing","2022-06-14","Reported","2022","Reported","6","Reported","SERIES C","COLOMBIA","376.00","Reported"
"ADOBE","Reported","SF BAY AREA","Reported","MARKETING","Reported","100","Reported","0.00","missing","2022-12-06","Reported","2022","Reported","12","Reported","POST-IPO","UNITED STATES","2.00","Reported"
"ADROLL","Reported","SALT LAKE CITY","Reported","MARKETING","Reported","210","Reported","0.30","Reported","2020-03-31","Reported","2020","Reported","3","Reported","SERIES C","UNITED STATES","89.00","Reported"
"ADVATA","Reported","SEATTLE","Reported","HEALTHCARE","Reported","32","Reported","0.21","Reported","2022-10-28","Reported","2022","Reported","10","Reported",\N,"UNITED STATES","0.00","missing"
"ADWERX","Reported","DURHAM","Reported","MARKETING","Reported","40","Reported","0.00","missing","2022-07-07","Reported","2022","Reported","7","Reported","UNKNOWN","UNITED STATES","20.00","Reported"
"AFFIRM","Reported","SF BAY AREA","Reported","FINANCE","Reported","0","missing","0.01","Reported","2022-11-03","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","1500.00","Reported"
"AFFIRM","Reported","SF BAY AREA","Reported","FINANCE","Reported","500","Reported","0.19","Reported","2023-02-08","Reported","2023","Reported","2","Reported","POST-IPO","UNITED STATES","1500.00","Reported"
"AFTERVERSE","Reported","BRASILIA","Reported","CONSUMER","Reported","60","Reported","0.20","Reported","2022-06-03","Reported","2022","Reported","6","Reported","UNKNOWN","BRAZIL","0.00","missing"
"AGODA","Reported","SINGAPORE","Reported","TRAVEL","Reported","1500","Reported","0.25","Reported","2020-05-18","Reported","2020","Reported","5","Reported","ACQUIRED","SINGAPORE","0.00","missing"
"AHEAD","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","44","Reported","1.00","Reported","2022-04-14","Reported","2022","Reported","4","Reported","UNKNOWN","UNITED STATES","9.00","Reported"
"AIR","Reported","NEW YORK CITY","Reported","MARKETING","Reported","0","missing","0.16","Reported","2020-09-16","Reported","2020","Reported","9","Reported","SERIES A","UNITED STATES","18.00","Reported"
"AIRBNB","Reported","SF BAY AREA","Reported","unknown","missing","30","Reported","0.00","missing","2023-03-03","Reported","2023","Reported","3","Reported","POST-IPO","UNITED STATES","6400.00","Reported"
"AIRBNB","Reported","SF BAY AREA","Reported","TRAVEL","Reported","1900","Reported","0.25","Reported","2020-05-05","Reported","2020","Reported","5","Reported","PRIVATE EQUITY","UNITED STATES","5400.00","Reported"
