"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"BLOCKFI","Reported","NEW YORK CITY","Reported","CRYPTO","Reported","250","Reported","0.20","Reported","2022-06-13","Reported","2022","Reported","6","Reported","SERIES E","UNITED STATES","1000.00","Reported"
"BLOOMTECH","Reported","SF BAY AREA","Reported","EDUCATION","Reported","88","Reported","0.50","Reported","2022-12-01","Reported","2022","Reported","12","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"BLUE APRON","Reported","NEW YORK CITY","Reported","FOOD","Reported","0","missing","0.10","Reported","2022-12-08","Reported","2022","Reported","12","Reported","POST-IPO","UNITED STATES","352.00","Reported"
"BLUEGROUND","Reported","NEW YORK CITY","Reported","REAL ESTATE","Reported","130","Reported","0.25","Reported","2020-03-27","Reported","2020","Reported","3","Reported","SERIES B","UNITED STATES","77.00","Reported"
"BLUESTACKS","Reported","SF BAY AREA","Reported","OTHER","Reported","60","Reported","0.00","missing","2022-07-20","Reported","2022","Reported","7","Reported","SERIES C","UNITED STATES","48.00","Reported"
"BLUME GLOBAL","Reported","SF BAY AREA","Reported","LOGISTICS","Reported","30","Reported","0.10","Reported","2020-03-30","Reported","2020","Reported","3","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"BLUPRINT","Reported","DENVER","Reported","EDUCATION","Reported","137","Reported","1.00","Reported","2020-05-26","Reported","2020","Reported","5","Reported","ACQUIRED","UNITED STATES","108.00","Reported"
"BM TECHNOLOGIES","Reported","PHILADELPHIA","Reported","FINANCE","Reported","0","missing","0.25","Reported","2023-01-30","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","0.00","missing"
"BOLT","Reported","LAGOS","Reported","TRANSPORTATION","Reported","17","Reported","0.00","missing","2023-02-21","Reported","2023","Reported","2","Reported","SERIES F","NIGERIA","0.00","missing"
"BOLT","Reported","SF BAY AREA","Reported","FINANCE","Reported","50","Reported","0.10","Reported","2023-01-24","Reported","2023","Reported","1","Reported","SERIES E","UNITED STATES","1300.00","Reported"
"BOLT","Reported","SF BAY AREA","Reported","FINANCE","Reported","240","Reported","0.27","Reported","2022-05-25","Reported","2022","Reported","5","Reported","SERIES E","UNITED STATES","1300.00","Reported"
"BOND","Reported","SF BAY AREA","Reported","FINANCE","Reported","0","missing","0.00","missing","2022-06-07","Reported","2022","Reported","6","Reported","SERIES A","UNITED STATES","42.00","Reported"
"BONSAI","Reported","TORONTO","Reported","RETAIL","Reported","29","Reported","0.34","Reported","2022-04-26","Reported","2022","Reported","4","Reported","SERIES A","CANADA","27.00","Reported"
"BONSAI","Reported","TORONTO","Reported","RETAIL","Reported","30","Reported","0.55","Reported","2022-06-20","Reported","2022","Reported","6","Reported","SERIES A","CANADA","27.00","Reported"
"BONTERRA","Reported","AUSTIN","Reported","OTHER","Reported","140","Reported","0.10","Reported","2023-01-13","Reported","2023","Reported","1","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"BOOKCLUB","Reported","SALT LAKE CITY","Reported","EDUCATION","Reported","12","Reported","0.25","Reported","2022-05-31","Reported","2022","Reported","5","Reported","SERIES A","UNITED STATES","26.00","Reported"
"BOOKING.COM","Reported","AMSTERDAM","Reported","TRAVEL","Reported","4375","Reported","0.25","Reported","2020-07-30","Reported","2020","Reported","7","Reported","ACQUIRED","NETHERLANDS","0.00","missing"
"BOOKING.COM","Reported","GRAND RAPIDS","Reported","TRAVEL","Reported","226","Reported","0.00","missing","2022-11-01","Reported","2022","Reported","11","Reported","ACQUIRED","UNITED STATES","0.00","missing"
"BOOKMYSHOW","Reported","MUMBAI","Reported","CONSUMER","Reported","270","Reported","0.18","Reported","2020-05-28","Reported","2020","Reported","5","Reported","UNKNOWN","INDIA","224.00","Reported"
"BOOKSY","Reported","SF BAY AREA","Reported","CONSUMER","Reported","200","Reported","0.00","missing","2020-04-01","Reported","2020","Reported","4","Reported","SERIES B","UNITED STATES","48.00","Reported"
"BOOKTOPIA","Reported","SYDNEY","Reported","RETAIL","Reported","0","missing","0.00","missing","2022-06-28","Reported","2022","Reported","6","Reported","SERIES A","AUSTRALIA","23.00","Reported"
"BOOKTOPIA","Reported","SYDNEY","Reported","RETAIL","Reported","30","Reported","0.00","missing","2023-01-23","Reported","2023","Reported","1","Reported","SERIES A","AUSTRALIA","23.00","Reported"
"BOOSTED COMMERCE","Reported","LOS ANGELES","Reported","RETAIL","Reported","0","missing","0.05","Reported","2022-07-22","Reported","2022","Reported","7","Reported","SERIES B","UNITED STATES","137.00","Reported"
"BOOZT","Reported","MALMO","Reported","RETAIL","Reported","70","Reported","0.05","Reported","2022-06-09","Reported","2022","Reported","6","Reported","POST-IPO","SWEDEN","56.00","Reported"
"BORROWELL","Reported","TORONTO","Reported","FINANCE","Reported","15","Reported","0.20","Reported","2020-04-06","Reported","2020","Reported","4","Reported","SERIES B","CANADA","72.00","Reported"
"BOSSA NOVA","Reported","SF BAY AREA","Reported","RETAIL","Reported","0","missing","0.50","Reported","2020-11-02","Reported","2020","Reported","11","Reported","UNKNOWN","UNITED STATES","101.60","Reported"
"BOSSA NOVA","Reported","SF BAY AREA","Reported","RETAIL","Reported","61","Reported","0.00","missing","2020-06-29","Reported","2020","Reported","6","Reported","UNKNOWN","UNITED STATES","101.60","Reported"
"BOUNCE","Reported","BENGALURU","Reported","TRANSPORTATION","Reported","40","Reported","0.05","Reported","2023-01-06","Reported","2023","Reported","1","Reported","SERIES D","INDIA","214.00","Reported"
"BOUNCE","Reported","BENGALURU","Reported","TRANSPORTATION","Reported","120","Reported","0.00","missing","2020-03-19","Reported","2020","Reported","3","Reported","SERIES D","INDIA","214.00","Reported"
"BOUNCE","Reported","BENGALURU","Reported","TRANSPORTATION","Reported","130","Reported","0.22","Reported","2020-06-29","Reported","2020","Reported","6","Reported","SERIES D","INDIA","214.20","Reported"
"BOUNCE","Reported","BENGALURU","Reported","TRANSPORTATION","Reported","200","Reported","0.40","Reported","2021-02-22","Reported","2021","Reported","2","Reported","SERIES D","INDIA","214.20","Reported"
"BOUNCEX","Reported","NEW YORK CITY","Reported","MARKETING","Reported","77","Reported","0.20","Reported","2020-04-06","Reported","2020","Reported","4","Reported","SERIES B","UNITED STATES","75.00","Reported"
"BRAINBASE","Reported","LOS ANGELES","Reported","SALES","Reported","0","missing","0.00","missing","2022-07-28","Reported","2022","Reported","7","Reported","SERIES A","UNITED STATES","12.00","Reported"
"BRAINLY","Reported","KRAKOW","Reported","EDUCATION","Reported","25","Reported","0.00","missing","2022-11-06","Reported","2022","Reported","11","Reported","SERIES D","POLAND","148.00","Reported"
"BRANCH","Reported","NEW YORK CITY","Reported","RETAIL","Reported","3","Reported","0.27","Reported","2020-06-11","Reported","2020","Reported","6","Reported","SEED","UNITED STATES","2.00","Reported"
"BRANCH METRICS","Reported","SF BAY AREA","Reported","MARKETING","Reported","100","Reported","0.20","Reported","2020-04-07","Reported","2020","Reported","4","Reported","SERIES E","UNITED STATES","367.00","Reported"
"BRAVE CARE","Reported","PORTLAND","Reported","HEALTHCARE","Reported","40","Reported","0.33","Reported","2022-09-06","Reported","2022","Reported","9","Reported","SERIES B","UNITED STATES","42.00","Reported"
"BREATHE","Reported","NEW DELHI","Reported","HEALTHCARE","Reported","50","Reported","0.33","Reported","2022-06-14","Reported","2022","Reported","6","Reported","SERIES A","INDIA","6.00","Reported"
"BREATHER","Reported","MONTREAL","Reported","REAL ESTATE","Reported","120","Reported","0.80","Reported","2020-12-16","Reported","2020","Reported","12","Reported","SERIES D","CANADA","131.00","Reported"
"BREX","Reported","SF BAY AREA","Reported","FINANCE","Reported","62","Reported","0.15","Reported","2020-05-29","Reported","2020","Reported","5","Reported","SERIES C","UNITED STATES","732.00","Reported"
"BREX","Reported","SF BAY AREA","Reported","FINANCE","Reported","136","Reported","0.11","Reported","2022-10-11","Reported","2022","Reported","10","Reported","SERIES D","UNITED STATES","1500.00","Reported"
"BRIDGE CONNECTOR","Reported","NASHVILLE","Reported","HEALTHCARE","Reported","154","Reported","1.00","Reported","2020-11-17","Reported","2020","Reported","11","Reported","SERIES B","UNITED STATES","45.00","Reported"
"BRIDGIT","Reported","WATERLOO","Reported","CONSTRUCTION","Reported","13","Reported","0.13","Reported","2022-12-06","Reported","2022","Reported","12","Reported","SERIES B","CANADA","36.00","Reported"
"BRIGHT MACHINES","Reported","SF BAY AREA","Reported","DATA","Reported","30","Reported","0.08","Reported","2022-06-28","Reported","2022","Reported","6","Reported","UNKNOWN","ISRAEL","250.00","Reported"
"BRIGHT MONEY","Reported","BENGALURU","Reported","FINANCE","Reported","100","Reported","0.50","Reported","2022-07-15","Reported","2022","Reported","7","Reported","SERIES A","INDIA","31.00","Reported"
"BRIGHTE","Reported","SYDNEY","Reported","ENERGY","Reported","30","Reported","0.15","Reported","2022-06-20","Reported","2022","Reported","6","Reported","SERIES C","AUSTRALIA","145.00","Reported"
"BRIGHTE","Reported","SYDNEY","Reported","ENERGY","Reported","58","Reported","0.00","missing","2022-09-09","Reported","2022","Reported","9","Reported","SERIES C","AUSTRALIA","145.00","Reported"
"BRIGHTLINE","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","0","missing","0.20","Reported","2022-11-01","Reported","2022","Reported","11","Reported","SERIES C","UNITED STATES","212.00","Reported"
"BRINGG","Reported","TEL AVIV","Reported","LOGISTICS","Reported","10","Reported","0.10","Reported","2020-04-21","Reported","2020","Reported","4","Reported","SERIES D","ISRAEL","84.00","Reported"
"BRITISHVOLT","Reported","LONDON","Reported","TRANSPORTATION","Reported","206","Reported","1.00","Reported","2023-01-17","Reported","2023","Reported","1","Reported","UNKNOWN","UNITED KINGDOM","2400.00","Reported"
"BRIZA","Reported","TORONTO","Reported","FINANCE","Reported","26","Reported","0.40","Reported","2022-12-20","Reported","2022","Reported","12","Reported","SERIES A","CANADA","10.00","Reported"
"BRODMANN17","Reported","TEL AVIV","Reported","OTHER","Reported","0","missing","1.00","Reported","2022-12-09","Reported","2022","Reported","12","Reported","SERIES A","ISRAEL","25.00","Reported"
"BRYTER","Reported","BERLIN","Reported","PRODUCT","Reported","100","Reported","0.30","Reported","2022-07-13","Reported","2022","Reported","7","Reported","SERIES B","GERMANY","89.00","Reported"
"BUENBIT","Reported","BUENOS AIRES","Reported","CRYPTO","Reported","80","Reported","0.45","Reported","2022-05-23","Reported","2022","Reported","5","Reported","SERIES A","ARGENTINA","11.00","Reported"
"BUILDER","Reported","LOS ANGELES","Reported","PRODUCT","Reported","39","Reported","0.14","Reported","2020-06-04","Reported","2020","Reported","6","Reported","SERIES A","UNITED STATES","29.00","Reported"
"BUILT IN","Reported","CHICAGO","Reported","RECRUITING","Reported","28","Reported","0.00","missing","2020-04-10","Reported","2020","Reported","4","Reported","SERIES C","UNITED STATES","29.00","Reported"
"BUILT IN","Reported","CHICAGO","Reported","RECRUITING","Reported","50","Reported","0.25","Reported","2022-10-05","Reported","2022","Reported","10","Reported","SERIES C","UNITED STATES","29.00","Reported"
"BULLHORN","Reported","BOSTON","Reported","SALES","Reported","100","Reported","0.00","missing","2020-04-30","Reported","2020","Reported","4","Reported","ACQUIRED","UNITED STATES","32.00","Reported"
"BULLISH","Reported","HONG KONG","Reported","CRYPTO","Reported","30","Reported","0.08","Reported","2022-07-05","Reported","2022","Reported","7","Reported","UNKNOWN","HONG KONG","300.00","Reported"
"BUNGALOW","Reported","SF BAY AREA","Reported","REAL ESTATE","Reported","70","Reported","0.00","missing","2022-06-22","Reported","2022","Reported","6","Reported","SERIES C","UNITED STATES","171.00","Reported"
"BUSBUD","Reported","MONTREAL","Reported","TRANSPORTATION","Reported","23","Reported","0.32","Reported","2020-04-06","Reported","2020","Reported","4","Reported","SERIES B","CANADA","21.00","Reported"
"BUSER","Reported","SAO PAULO","Reported","TRANSPORTATION","Reported","160","Reported","0.30","Reported","2022-12-08","Reported","2022","Reported","12","Reported","SERIES C","BRAZIL","138.00","Reported"
"BUSTLE DIGITAL GROUP","Reported","NEW YORK CITY","Reported","MEDIA","Reported","0","missing","0.08","Reported","2023-02-01","Reported","2023","Reported","2","Reported","SERIES E","UNITED STATES","80.00","Reported"
"BUSTLE DIGITAL GROUP","Reported","NEW YORK CITY","Reported","MEDIA","Reported","19","Reported","0.00","missing","2020-04-03","Reported","2020","Reported","4","Reported","SERIES E","UNITED STATES","80.00","Reported"
"BUSTLE DIGITAL GROUP","Reported","NEW YORK CITY","Reported","MEDIA","Reported","24","Reported","0.08","Reported","2020-04-03","Reported","2020","Reported","4","Reported","SERIES E","UNITED STATES","80.00","Reported"
"BUTLER HOSPITALITY","Reported","NEW YORK CITY","Reported","FOOD","Reported","1000","Reported","1.00","Reported","2022-07-08","Reported","2022","Reported","7","Reported","SERIES B","UNITED STATES","50.00","Reported"
"BUTTERFLY NETWORK","Reported","BOSTON","Reported","HEALTHCARE","Reported","0","missing","0.25","Reported","2023-01-04","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","530.00","Reported"
"BUTTERFLY NETWORK","Reported","NEW HAVEN","Reported","HEALTHCARE","Reported","0","missing","0.10","Reported","2022-08-02","Reported","2022","Reported","8","Reported","POST-IPO","UNITED STATES","530.00","Reported"
"BUTTON","Reported","NEW YORK CITY","Reported","MARKETING","Reported","48","Reported","0.35","Reported","2020-04-08","Reported","2020","Reported","4","Reported","SERIES C","UNITED STATES","64.00","Reported"
"BUX","Reported","AMSTERDAM","Reported","FINANCE","Reported","0","missing","0.00","missing","2023-01-22","Reported","2023","Reported","1","Reported","SERIES C","NETHERLANDS","115.00","Reported"
"BUY.COM / RAKUTEN","Reported","SF BAY AREA","Reported","RETAIL","Reported","87","Reported","1.00","Reported","2020-07-30","Reported","2020","Reported","7","Reported","ACQUIRED","UNITED STATES","42.40","Reported"
"BUZZER","Reported","NEW YORK CITY","Reported","MEDIA","Reported","0","missing","0.20","Reported","2022-06-20","Reported","2022","Reported","6","Reported","UNKNOWN","UNITED STATES","32.00","Reported"
"BUZZFEED","Reported","NEW YORK CITY","Reported","MEDIA","Reported","180","Reported","0.12","Reported","2022-12-06","Reported","2022","Reported","12","Reported","POST-IPO","UNITED STATES","696.00","Reported"
"BVACCEL","Reported","SAN DIEGO","Reported","MARKETING","Reported","25","Reported","0.25","Reported","2020-04-08","Reported","2020","Reported","4","Reported","UNKNOWN","UNITED STATES","0.00","missing"
"BYBIT","Reported","SINGAPORE","Reported","CRYPTO","Reported","0","missing","0.00","missing","2022-06-20","Reported","2022","Reported","6","Reported","UNKNOWN","SINGAPORE","0.00","missing"
"BYBIT","Reported","SINGAPORE","Reported","CRYPTO","Reported","0","missing","0.30","Reported","2022-12-03","Reported","2022","Reported","12","Reported","UNKNOWN","SINGAPORE","0.00","missing"
"BYBIT","Reported","SINGAPORE","Reported","CRYPTO","Reported","600","Reported","0.30","Reported","2022-06-20","Reported","2022","Reported","6","Reported","UNKNOWN","SINGAPORE","0.00","missing"
"BYJU'S","Reported","BENGALURU","Reported","EDUCATION","Reported","1500","Reported","0.00","missing","2023-02-02","Reported","2023","Reported","2","Reported","PRIVATE EQUITY","INDIA","5500.00","Reported"
"BYJU'S","Reported","BENGALURU","Reported","EDUCATION","Reported","2500","Reported","0.05","Reported","2022-10-12","Reported","2022","Reported","10","Reported","PRIVATE EQUITY","INDIA","5500.00","Reported"
"BYTEDANCE","Reported","MUMBAI","Reported","CONSUMER","Reported","1800","Reported","0.00","missing","2021-01-27","Reported","2021","Reported","1","Reported","UNKNOWN","INDIA","7400.00","Reported"
"BYTEDANCE","Reported","SHANGHAI","Reported","CONSUMER","Reported","0","missing","0.10","Reported","2023-01-03","Reported","2023","Reported","1","Reported","UNKNOWN","CHINA","9400.00","Reported"
"BYTEDANCE","Reported","SHANGHAI","Reported","CONSUMER","Reported","150","Reported","0.00","missing","2022-06-17","Reported","2022","Reported","6","Reported","UNKNOWN","CHINA","9400.00","Reported"
"BYTEDANCE","Reported","SHANGHAI","Reported","CONSUMER","Reported","1800","Reported","0.00","missing","2021-08-05","Reported","2021","Reported","8","Reported","UNKNOWN","CHINA","9400.00","Reported"
"BYTON","Reported","SF BAY AREA","Reported","TRANSPORTATION","Reported","0","missing","0.00","missing","2020-06-27","Reported","2020","Reported","6","Reported","SERIES C","UNITED STATES","1200.00","Reported"
"C2FO","Reported","KANSAS CITY","Reported","FINANCE","Reported","20","Reported","0.02","Reported","2022-12-09","Reported","2022","Reported","12","Reported","SERIES H","UNITED STATES","537.00","Reported"
"C6 BANK","Reported","SAO PAULO","Reported","FINANCE","Reported","0","missing","0.00","missing","2023-02-06","Reported","2023","Reported","2","Reported","UNKNOWN","BRAZIL","2300.00","Reported"
"C6 BANK","Reported","SAO PAULO","Reported","FINANCE","Reported","60","Reported","0.06","Reported","2020-04-06","Reported","2020","Reported","4","Reported","UNKNOWN","BRAZIL","0.00","missing"
"CABIN","Reported","SF BAY AREA","Reported","TRAVEL","Reported","0","missing","0.20","Reported","2020-03-23","Reported","2020","Reported","3","Reported","SEED","UNITED STATES","3.00","Reported"
"CADRE","Reported","NEW YORK CITY","Reported","REAL ESTATE","Reported","28","Reported","0.25","Reported","2020-05-11","Reported","2020","Reported","5","Reported","SERIES C","UNITED STATES","133.00","Reported"
"CALIBRATE","Reported","NEW YORK CITY","Reported","HEALTHCARE","Reported","156","Reported","0.24","Reported","2022-07-08","Reported","2022","Reported","7","Reported","SERIES B","UNITED STATES","127.00","Reported"
"CALIVA","Reported","SF BAY AREA","Reported","RETAIL","Reported","20","Reported","0.00","missing","2020-03-30","Reported","2020","Reported","3","Reported","SERIES A","UNITED STATES","75.00","Reported"
"CALLISTO MEDIA","Reported","SF BAY AREA","Reported","MEDIA","Reported","0","missing","0.35","Reported","2022-10-25","Reported","2022","Reported","10","Reported","SERIES D","UNITED STATES","0.00","missing"
"CALLISTO MEDIA","Reported","SF BAY AREA","Reported","MEDIA","Reported","140","Reported","0.35","Reported","2022-07-21","Reported","2022","Reported","7","Reported","SERIES D","UNITED STATES","0.00","missing"
"CALM","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","90","Reported","0.20","Reported","2022-08-11","Reported","2022","Reported","8","Reported","SERIES C","UNITED STATES","218.00","Reported"
"CAMEO","Reported","CHICAGO","Reported","CONSUMER","Reported","80","Reported","0.00","missing","2022-11-09","Reported","2022","Reported","11","Reported","UNKNOWN","UNITED STATES","165.00","Reported"
"CAMEO","Reported","CHICAGO","Reported","CONSUMER","Reported","87","Reported","0.25","Reported","2022-05-04","Reported","2022","Reported","5","Reported","UNKNOWN","UNITED STATES","165.00","Reported"
"CAMP K12","Reported","GURUGRAM","Reported","EDUCATION","Reported","0","missing","0.70","Reported","2023-01-23","Reported","2023","Reported","1","Reported","SERIES A","INDIA","16.00","Reported"
"CANDIDATE LABS","Reported","SF BAY AREA","Reported","HR","Reported","0","missing","0.00","missing","2022-09-21","Reported","2022","Reported","9","Reported","SEED","UNITED STATES","5.00","Reported"
"CANDY DIGITAL","Reported","NEW YORK CITY","Reported","CRYPTO","Reported","33","Reported","0.33","Reported","2022-11-28","Reported","2022","Reported","11","Reported","SERIES A","UNITED STATES","100.00","Reported"
"CANOO","Reported","LOS ANGELES","Reported","TRANSPORTATION","Reported","58","Reported","0.06","Reported","2022-07-01","Reported","2022","Reported","7","Reported","POST-IPO","UNITED STATES","300.00","Reported"
"CAPILLARY","Reported","BENGALURU","Reported","RETAIL","Reported","0","missing","0.00","missing","2020-04-02","Reported","2020","Reported","4","Reported","PRIVATE EQUITY","INDIA","102.00","Reported"
"CAPITAL ONE","Reported","WASHINGTON D.C.","Reported","FINANCE","Reported","1100","Reported","0.00","missing","2023-01-19","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","0.00","missing"
"CAPITER","Reported","CAIRO","Reported","FINANCE","Reported","0","missing","0.00","missing","2022-09-09","Reported","2022","Reported","9","Reported","SERIES A","EGYPT","33.00","Reported"
"CAPITOLIS","Reported","NEW YORK CITY","Reported","FINANCE","Reported","0","missing","0.25","Reported","2022-11-18","Reported","2022","Reported","11","Reported","SERIES D","UNITED STATES","281.00","Reported"
"CAPITOLIS","Reported","NEW YORK CITY","Reported","FINANCE","Reported","37","Reported","0.25","Reported","2022-11-17","Reported","2022","Reported","11","Reported","SERIES D","UNITED STATES","281.00","Reported"
"CAPSULE","Reported","NEW YORK CITY","Reported","HEALTHCARE","Reported","0","missing","0.13","Reported","2022-07-19","Reported","2022","Reported","7","Reported","SERIES D","UNITED STATES","570.00","Reported"
"CAPTAIN FRESH","Reported","BENGALURU","Reported","FOOD","Reported","120","Reported","0.00","missing","2023-01-15","Reported","2023","Reported","1","Reported","SERIES C","INDIA","126.00","Reported"
"CAPTIVATEIQ","Reported","SF BAY AREA","Reported","SALES","Reported","31","Reported","0.10","Reported","2022-11-15","Reported","2022","Reported","11","Reported","SERIES C","UNITED STATES","164.00","Reported"
"CARBON","Reported","SF BAY AREA","Reported","HARDWARE","Reported","0","missing","0.00","missing","2022-10-26","Reported","2022","Reported","10","Reported","SERIES E","UNITED STATES","683.00","Reported"
"CARBON HEALTH","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","200","Reported","0.00","missing","2023-01-06","Reported","2023","Reported","1","Reported","SERIES D","UNITED STATES","522.00","Reported"
"CARBON HEALTH","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","250","Reported","0.08","Reported","2022-06-02","Reported","2022","Reported","6","Reported","SERIES D","UNITED STATES","522.00","Reported"
"CARDEKHO","Reported","GURUGRAM","Reported","TRANSPORTATION","Reported","0","missing","0.00","missing","2022-08-03","Reported","2022","Reported","8","Reported","SERIES E","INDIA","497.00","Reported"
"CARDEKHO","Reported","GURUGRAM","Reported","TRANSPORTATION","Reported","200","Reported","0.00","missing","2020-05-25","Reported","2020","Reported","5","Reported","SERIES D","INDIA","247.00","Reported"
"CARDLYTICS","Reported","ATLANTA","Reported","MARKETING","Reported","51","Reported","0.00","missing","2022-11-14","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","212.00","Reported"
"CARE.COM","Reported","BOSTON","Reported","CONSUMER","Reported","81","Reported","0.00","missing","2020-04-30","Reported","2020","Reported","4","Reported","ACQUIRED","UNITED STATES","156.00","Reported"
"CAREEM","Reported","DUBAI","Reported","TRANSPORTATION","Reported","536","Reported","0.31","Reported","2020-05-04","Reported","2020","Reported","5","Reported","ACQUIRED","UNITED ARAB EMIRATES","771.00","Reported"
"CAREER KARMA","Reported","SF BAY AREA","Reported","EDUCATION","Reported","22","Reported","0.00","missing","2023-01-12","Reported","2023","Reported","1","Reported","SERIES B","UNITED STATES","51.00","Reported"
"CAREER KARMA","Reported","SF BAY AREA","Reported","EDUCATION","Reported","60","Reported","0.33","Reported","2022-07-28","Reported","2022","Reported","7","Reported","SERIES B","UNITED STATES","51.00","Reported"
"CAREERARC","Reported","LOS ANGELES","Reported","HR","Reported","0","missing","0.00","missing","2023-01-06","Reported","2023","Reported","1","Reported","PRIVATE EQUITY","UNITED STATES","30.00","Reported"
"CAREREV","Reported","LOS ANGELES","Reported","RETAIL","Reported","0","missing","0.00","missing","2023-01-25","Reported","2023","Reported","1","Reported","SERIES A","UNITED STATES","51.00","Reported"
"CARGURUS","Reported","BOSTON","Reported","TRANSPORTATION","Reported","130","Reported","0.13","Reported","2020-04-16","Reported","2020","Reported","4","Reported","POST-IPO","UNITED STATES","1.00","Reported"
"CARIBOU","Reported","WASHINGTON D.C.","Reported","FINANCE","Reported","0","missing","0.00","missing","2022-12-12","Reported","2022","Reported","12","Reported","SERIES C","UNITED STATES","189.00","Reported"
"CAROUSELL","Reported","SINGAPORE","Reported","RETAIL","Reported","110","Reported","0.10","Reported","2022-12-01","Reported","2022","Reported","12","Reported","PRIVATE EQUITY","SINGAPORE","372.00","Reported"
"CARS24","Reported","GURUGRAM","Reported","TRANSPORTATION","Reported","600","Reported","0.06","Reported","2022-05-19","Reported","2022","Reported","5","Reported","SERIES G","INDIA","1300.00","Reported"
"CARSOME","Reported","KUALA LUMPUR","Reported","TRANSPORTATION","Reported","0","missing","0.10","Reported","2022-09-30","Reported","2022","Reported","9","Reported","SERIES E","MALAYSIA","607.00","Reported"
"CART.COM","Reported","AUSTIN","Reported","RETAIL","Reported","0","missing","0.00","missing","2023-01-10","Reported","2023","Reported","1","Reported","UNKNOWN","UNITED STATES","383.00","Reported"
"CARTA","Reported","SF BAY AREA","Reported","FINANCE","Reported","161","Reported","0.16","Reported","2020-04-15","Reported","2020","Reported","4","Reported","SERIES E","UNITED STATES","447.00","Reported"
"CARTA","Reported","SF BAY AREA","Reported","HR","Reported","0","missing","0.10","Reported","2023-01-11","Reported","2023","Reported","1","Reported","SERIES G","UNITED STATES","1100.00","Reported"
"CARVANA","Reported","PHOENIX","Reported","unknown","missing","2500","Reported","0.12","Reported","2022-05-10","Reported","2022","Reported","5","Reported","POST-IPO","UNITED STATES","1600.00","Reported"
"CARVANA","Reported","PHOENIX","Reported","TRANSPORTATION","Reported","0","missing","0.00","missing","2023-01-13","Reported","2023","Reported","1","Reported","POST-IPO","UNITED STATES","1600.00","Reported"
"CARVANA","Reported","PHOENIX","Reported","TRANSPORTATION","Reported","1500","Reported","0.08","Reported","2022-11-18","Reported","2022","Reported","11","Reported","POST-IPO","UNITED STATES","1600.00","Reported"
"CARWOW","Reported","LONDON","Reported","TRANSPORTATION","Reported","70","Reported","0.20","Reported","2022-11-25","Reported","2022","Reported","11","Reported","UNKNOWN","UNITED KINGDOM","157.00","Reported"
"CASAVO","Reported","MILAN","Reported","REAL ESTATE","Reported","0","missing","0.30","Reported","2023-02-13","Reported","2023","Reported","2","Reported","UNKNOWN","ITALY","708.00","Reported"
"CASHFREE PAYMENTS","Reported","BENGALURU","Reported","FINANCE","Reported","100","Reported","0.00","missing","2023-01-12","Reported","2023","Reported","1","Reported","SERIES B","INDIA","41.00","Reported"
"CASPER","Reported","NEW YORK CITY","Reported","RETAIL","Reported","0","missing","0.00","missing","2021-09-14","Reported","2021","Reported","9","Reported","POST-IPO","UNITED STATES","339.00","Reported"
"CASPER","Reported","NEW YORK CITY","Reported","RETAIL","Reported","78","Reported","0.21","Reported","2020-04-21","Reported","2020","Reported","4","Reported","POST-IPO","UNITED STATES","339.00","Reported"
"CASTLIGHT HEALTH","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","0","missing","0.13","Reported","2020-05-04","Reported","2020","Reported","5","Reported","POST-IPO","UNITED STATES","184.00","Reported"
"CATALANT","Reported","BOSTON","Reported","OTHER","Reported","30","Reported","0.00","missing","2020-03-30","Reported","2020","Reported","3","Reported","SERIES E","UNITED STATES","110.00","Reported"
"CATALYST","Reported","NEW YORK CITY","Reported","SUPPORT","Reported","0","missing","0.00","missing","2022-07-21","Reported","2022","Reported","7","Reported","SERIES B","UNITED STATES","45.00","Reported"
"CATCH.COM.AU","Reported","MELBOURNE","Reported","RETAIL","Reported","100","Reported","0.00","missing","2023-02-06","Reported","2023","Reported","2","Reported","ACQUIRED","AUSTRALIA","80.00","Reported"
"CAZOO","Reported","LONDON","Reported","TRANSPORTATION","Reported","0","missing","0.00","missing","2023-01-18","Reported","2023","Reported","1","Reported","POST-IPO","UNITED KINGDOM","2000.00","Reported"
"CAZOO","Reported","LONDON","Reported","TRANSPORTATION","Reported","750","Reported","0.15","Reported","2022-06-07","Reported","2022","Reported","6","Reported","POST-IPO","UNITED KINGDOM","2000.00","Reported"
"CEDAR","Reported","NEW YORK CITY","Reported","HEALTHCARE","Reported","0","missing","0.24","Reported","2022-07-07","Reported","2022","Reported","7","Reported","SERIES D","UNITED STATES","351.00","Reported"
